ano,linhas,total_centavos,duplicatas_centavos,negativos_centavos,cnae_ausente_linhas,cnae_ausente_centavos,sentinela_linhas,sentinela_centavos
2015,65232,7513047430692,1200000,-8569434,7378,1052094355552,0,0
2016,62592,7829359904765,4208177,-40000,6908,1069028595589,0,0
2017,65315,7058954247706,33071200,0,7623,1113911355382,2,12721900
2018,69187,10023184942897,2974174971,0,7805,1433279067548,0,0
2019,74170,11944335176811,991595291,0,8629,1771236401460,0,0
2020,78939,15936442717177,2731700924,-446900,9035,1948362797356,0,0
2021,82953,20474399362478,3547192232,0,10045,2503097298124,0,0
2022,101442,19469789091743,7606299042,-432700,10676,2571164381376,0,0
2023,109337,17935872336985,5916323012,0,11109,2473139495709,0,0
2024,43292,7064536745000,0,-9799600,4569,1169793831600,0,0
