linha,posicao_fiscal,beneficiario,razao_social,ticker,renuncia_nominal,renuncia_comparada,ebitda,percentual,percentual_historico,escopo,data_final,moeda,cambio,ebitda_yahoo_original,ebitda_reconsulta_brl,origem,consulta,emissor,moeda_metadado
1,1,Petrobras,PETROLEO BRASILEIRO S A PETROBRAS,PETR4.SA,7997331342.2,9057488791.940046,253800000000.0,3.568750509038631,3.6%,Companhia listada; escopo não validado por CNPJ,2023-12-31,USD,4.85,52292000000.0,253616199999.99997,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:58.343764+00:00,Petróleo Brasileiro S.A. - Petrobras,BRL
2,2,GE Celma,GE CELMA LTDA.,GE,6324744478.78,7163177287.171842,61300000000.0,11.685444187882286,11.7%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,USD,4.85,12649000000.0,61347649999.99999,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:56.747450+00:00,GE Aerospace,USD
3,3,Vale,VALE S.A.,VALE3.SA,5063742871.33,5735012385.984342,75600000000.0,7.585995219556008,7.6%,Companhia listada; escopo não validado por CNPJ,2023-12-31,USD,4.85,15590000000.0,75611500000.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:59.247559+00:00,Vale S.A.,BRL
4,4,Samsung Amazônia,SAMSUNG ELETRONICA DA AMAZONIA LTDA,005930.KS,2125681807.97,2407470483.225307,189800000000.0,1.2684249121313524,1.3%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,KRW,0.00375,50603077000000.0,189761538750.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:54.410957+00:00,"Samsung Electronics Co., Ltd.",KRW
5,5,Embraer,EMBRAER S.A.,EMBJ3.SA,2699982590.18,3057902818.1494875,2900000000.0,105.44492476377543,105%,Companhia listada; escopo não validado por CNPJ,2023-12-31,USD,4.85,598200000.0,2901270000.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:55.895585+00:00,Embraer S.A.,BRL
6,6,LATAM (TAM),TAM LINHAS AEREAS S/A.,LTM,3908475111.29,4426597823.611905,6200000000.0,71.3967390905146,71.3%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,USD,4.85,1279379000.0,6204988150.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:57.627813+00:00,LATAM Airlines Group S.A.,USD
7,7,Stellantis Brasil,STELLANTIS AUTOMOVEIS BRASIL LTDA.,STLA,3714394389.0,4206789003.437434,166500000000.0,2.526600002064525,2.5%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,EUR,5.32,31297000000.0,166500040000.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:58.543302+00:00,Stellantis N.V.,EUR
8,8,Modec,MODEC SERVICOS DE PETROLEO DO BRASIL LTDA,MITSY,4076689096.0,4617110910.536133,60600000000.0,7.618994901874807,7.6%,"Mitsui & Co.; aproximação do autor, vínculo não validado nesta auditoria",2023-03-31,JPY,0.034,1782566000000.0,60607244000.00001,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:57.752798+00:00,"Mitsui & Co., Ltd.",JPY
9,9,GM Brasil,GENERAL MOTORS DO BRASIL LTDA,GM,2555521060.7,2894290904.6068797,112500000000.0,2.5727030263172264,2.6%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,USD,4.85,23202000000.0,112529699999.99998,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:56.770111+00:00,General Motors Company,USD
10,10,CNH Industrial,CNH INDUSTRIAL BRASIL LTDA.,CNH,1627755431.0,1843537042.7263374,22400000000.0,8.23007608359972,8.2%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,USD,4.85,4612000000.0,22368200000.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:55.588069+00:00,CNH Industrial N.V.,USD
11,11,Caterpillar Brasil,CATERPILLAR BRASIL LTDA,CAT,1665792825.67,1886616822.8625135,76200000000.0,2.4758750956200966,2.5%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,USD,4.85,15705000000.0,76169250000.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:55.562893+00:00,Caterpillar Inc.,USD
12,12,Renault Brasil,RENAULT DO BRASIL S.A,RNO.PA,1092723189.85,1237578839.897945,34000000000.0,3.6399377644057207,3.6%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,EUR,5.32,6394000000.0,34016080000.0,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:58.423176+00:00,Renault SA,EUR
13,13,Yara Brasil,YARA BRASIL FERTILIZANTES S/A,YAR.OL,989522641.0,1120697623.5853796,7400000000.0,15.144562480883508,15.1%,Matriz/grupo global; aproximação para a empresa brasileira,2023-12-31,USD,4.85,1531000000.0,7425349999.999999,"EBITDA histórico publicado pelo Carabetta, arredondado a R$ 0,1 bilhão",2026-09-17T18:32:59.743234+00:00,Yara International ASA,USD
