arquivo,linha_csv,Ano-calendário,CNPJ,Razão Social,Nome Fantasia,Código CNAE,CNAE,Município,UF,Tipo Renúncia,Benefício Fiscal,Fundamento Legal,Descrição,Tributo,Forma Tributação,Valor Renúncia Fiscal (R$)
2015_RenúnciasFiscais.csv,36510,2015,88634977000101,SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,,52117,Armazenamento,FARROUPILHA,RS,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Fundos de Direitos da Criança e do Adolescente,"Lei nº 8.069, de 1990, art. 260; Lei nº 12.594, de 2012, art. 87.","Dedução, do imposto de renda devido em cada período de apuração, das doações efetuadas aos Fundos dos Direitos da Criança e do Adolescente nacional, estaduais ou municipais, devidamente comprovados, observados os limites legais.",IRPJ,Dedução na apuração do IRPJ.,"12000,00"
2016_RenúnciasFiscais.csv,42313,2016,49351786000180,BAXTER HOSPITALAR LTDA,,82113,Serviços combinados de escritório e apoio administrativo,SÃO PAULO,SP,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Empresa Cidadã,"Lei nº 11.770, de 2008.","Dedução, do imposto devido, do total da remuneração integral paga à empregados, durante os 60 (sessenta) dias de prorrogação da licença maternidade ou 15 (quinze) dias de prorrogação da licença paternidade.",IRPJ,Dedução no cálculo do IRPJ e da CSLL.,"37081,77"
2016_RenúnciasFiscais.csv,52008,2016,91982348000187,HIDROPAN DISTRIBUICAO DE ENERGIA S.A.,HIDROPAN ENERGIA,00000,Sem informação,PANAMBI,RS,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda,"Lei nº 8.313, de 1991, art. 26, § 1º; Lei nº 9.249, de 1995, art. 13, § 2º, inciso I; Decreto nº 5.761, de 2006, arts. 28 e 30; Lei nº 8.313, de 1991, art. 18, caput e §§ 1º e 3º; Medida Provisória nº 2.228-1, de 2001, art. 39.","Dedução do imposto devido das quantias efetivamente realizadas no período de apuração a título de doações ou patrocínio, tanto mediante contribuições ao Fundo Nacional de Cultura (FNC) na forma de doações.",IRPJ,Dedução na apuração do IRPJ.,"5000,00"
2017_RenúnciasFiscais.csv,27966,2017,21316271000120,ADATA ELECTRONICS BRAZIL S/A,,26108,Fabricação de componentes eletrônicos,SANTO ANTÔNIO DE POSSE,SP,PIS/COFINS Vinculados à Importação,COFINS,"Bens Submetidos Aos Regimes Aduaneiros Especiais (Lei 10865/04 - Art. 14, Caput)","Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) da COFINS. É a diferença entre a COFINS calculada e a COFINS a recolher.",COFINS,,"271606,00"
2017_RenúnciasFiscais.csv,38028,2017,21316271000120,ADATA ELECTRONICS BRAZIL S/A,,26108,Fabricação de componentes eletrônicos,SANTO ANTÔNIO DE POSSE,SP,PIS/COFINS Vinculados à Importação,PIS,"Bens Submetidos Aos Regimes Aduaneiros Especiais (Lei 10865/04 - Art. 14, Caput)","Valor em real do incentivo, renúncia, benefício ou imunidade (IRBI) da contribuição ao PIS. É a diferença entre o PIS calculado e o PIS a recolher.",PIS,,"59106,00"
2018_RenúnciasFiscais.csv,20137,2018,03137964000174,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA,ORPES,85317,Educação superior - graduação,BELÉM,PA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda,"Lei nº 8.313, de 1991, art. 26, § 1º; Lei nº 9.249, de 1995, art. 13, § 2º, inciso I; Decreto nº 5.761, de 2006, arts. 28 e 30; Lei nº 8.313, de 1991, art. 18, caput e §§ 1º e 3º; Medida Provisória nº 2.228-1, de 2001, art. 39.","Dedução do imposto devido das quantias efetivamente realizadas no período de apuração a título de doações ou patrocínio, tanto mediante contribuições ao Fundo Nacional de Cultura (FNC) na forma de doações.",IRPJ,Dedução na apuração do IRPJ.,"103406,34"
2018_RenúnciasFiscais.csv,29613,2018,03186792000129,UNISAOLUIS EDUCACIONAL LTDA,ESTACIO SAO LUIS,85317,Educação superior - graduação,SÃO LUÍS,MA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda,"Lei nº 8.313, de 1991, art. 26, § 1º; Lei nº 9.249, de 1995, art. 13, § 2º, inciso I; Decreto nº 5.761, de 2006, arts. 28 e 30; Lei nº 8.313, de 1991, art. 18, caput e §§ 1º e 3º; Medida Provisória nº 2.228-1, de 2001, art. 39.","Dedução do imposto devido das quantias efetivamente realizadas no período de apuração a título de doações ou patrocínio, tanto mediante contribuições ao Fundo Nacional de Cultura (FNC) na forma de doações.",IRPJ,Dedução na apuração do IRPJ.,"212059,17"
2018_RenúnciasFiscais.csv,33260,2018,03137964000174,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA,ORPES,85317,Educação superior - graduação,BELÉM,PA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Fundos de Direitos da Criança e do Adolescente,"Lei nº 8.069, de 1990, art. 260; Lei nº 12.594, de 2012, art. 87.","Dedução, do imposto de renda devido em cada período de apuração, das doações efetuadas aos Fundos dos Direitos da Criança e do Adolescente nacional, estaduais ou municipais, devidamente comprovados, observados os limites legais.",IRPJ,Dedução na apuração do IRPJ.,"6367,33"
2018_RenúnciasFiscais.csv,36542,2018,17247891000188,SA RADIO GUARANI,RADIO GUARANI,60101,Atividades de rádio,BELO HORIZONTE,MG,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Horário Eleitoral,"Lei nº 9.096, de 1995; art. 50-E; Lei nº 9.504, de 1997, Art. 99","As emissoras de rádio e televisão obrigadas à divulgação gratuita de propaganda partidária e eleitoral, de plebiscitos e de referendos poderão efetuar a compensação fiscal pela cedência do horário gratuito.",IRPJ,Dedução no LALUR,"1454189,64"
2018_RenúnciasFiscais.csv,40585,2018,03681572000171,YDUQS EDUCACIONAL LTDA.,UNIFANOR,85317,Educação superior - graduação,FORTALEZA,CE,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Prouni - Programa Universidade para Todos CSLL,"Lei nº 11.096, de 2005.","Programa destinado à concessão de bolsas de estudo integrais e bolsas de estudo parciais de 50% (cinquenta por cento) para estudantes de cursos de graduação e sequenciais de formação específica, em instituições privadas de ensino superior, com ou sem fins lucrativos.",CSLL,Dedução na apuração da CSLL.,"555814,88"
2018_RenúnciasFiscais.csv,42345,2018,03137964000174,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA,ORPES,85317,Educação superior - graduação,BELÉM,PA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Fundos de Direitos da Criança e do Adolescente,"Lei nº 8.069, de 1990, art. 260; Lei nº 12.594, de 2012, art. 87.","Dedução, do imposto de renda devido em cada período de apuração, das doações efetuadas aos Fundos dos Direitos da Criança e do Adolescente nacional, estaduais ou municipais, devidamente comprovados, observados os limites legais.",IRPJ,Dedução na apuração do IRPJ.,"6367,33"
2018_RenúnciasFiscais.csv,46718,2018,03137964000174,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA,ORPES,85317,Educação superior - graduação,BELÉM,PA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda,"Lei nº 8.313, de 1991, art. 26, § 1º; Lei nº 9.249, de 1995, art. 13, § 2º, inciso I; Decreto nº 5.761, de 2006, arts. 28 e 30; Lei nº 8.313, de 1991, art. 18, caput e §§ 1º e 3º; Medida Provisória nº 2.228-1, de 2001, art. 39.","Dedução do imposto devido das quantias efetivamente realizadas no período de apuração a título de doações ou patrocínio, tanto mediante contribuições ao Fundo Nacional de Cultura (FNC) na forma de doações.",IRPJ,Dedução na apuração do IRPJ.,"103406,34"
2018_RenúnciasFiscais.csv,47461,2018,03186792000129,UNISAOLUIS EDUCACIONAL LTDA,ESTACIO SAO LUIS,85317,Educação superior - graduação,SÃO LUÍS,MA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Prouni - Programa Universidade para Todos,"Lei nº 11.096, de 2005.","Programa destinado à concessão de bolsas de estudo integrais e bolsas de estudo parciais de 50% (cinquenta por cento) para estudantes de cursos de graduação e sequenciais de formação específica, em instituições privadas de ensino superior, com ou sem fins lucrativos.",IRPJ,Isenção/redução do IRPJ com base no lucro da exploração.,"7736673,65"
2018_RenúnciasFiscais.csv,47662,2018,03137964000174,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA,ORPES,85317,Educação superior - graduação,BELÉM,PA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Prouni - Programa Universidade para Todos,"Lei nº 11.096, de 2005.","Programa destinado à concessão de bolsas de estudo integrais e bolsas de estudo parciais de 50% (cinquenta por cento) para estudantes de cursos de graduação e sequenciais de formação específica, em instituições privadas de ensino superior, com ou sem fins lucrativos.",IRPJ,Isenção/redução do IRPJ com base no lucro da exploração.,"4005150,04"
2018_RenúnciasFiscais.csv,47887,2018,01710918000197,TV MINAS CENTRO-OESTE LTDA,,60217,Atividades de televisão aberta,DIVINÓPOLIS,MG,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Horário Eleitoral,"Lei nº 9.096, de 1995; art. 50-E; Lei nº 9.504, de 1997, Art. 99","As emissoras de rádio e televisão obrigadas à divulgação gratuita de propaganda partidária e eleitoral, de plebiscitos e de referendos poderão efetuar a compensação fiscal pela cedência do horário gratuito.",IRPJ,Dedução no LALUR,"5860515,60"
2018_RenúnciasFiscais.csv,55882,2018,03186792000129,UNISAOLUIS EDUCACIONAL LTDA,ESTACIO SAO LUIS,85317,Educação superior - graduação,SÃO LUÍS,MA,Declarado pelo Contribuinte para Apuração do IRPJ e da CSLL,Prouni - Programa Universidade para Todos CSLL,"Lei nº 11.096, de 2005.","Programa destinado à concessão de bolsas de estudo integrais e bolsas de estudo parciais de 50% (cinquenta por cento) para estudantes de cursos de graduação e sequenciais de formação específica, em instituições privadas de ensino superior, com ou sem fins lucrativos.",CSLL,Dedução na apuração da CSLL.,"2792788,35"
