ano,ipca_indice_medio,meses
1980,0.000000,12
1981,0.000000,12
1982,0.000000,12
1983,0.000000,12
1984,0.000000,12
1985,0.000001,12
1986,0.000002,12
1987,0.000008,12
1988,0.000060,12
1989,0.000912,12
1990,0.027803,12
1991,0.148132,12
1992,1.558295,12
1993,31.592575,12
1994,687.419167,12
1995,1141.164167,12
1996,1320.985000,12
1997,1412.485833,12
1998,1457.615833,12
1999,1528.433333,12
2000,1636.098333,12
2001,1748.013333,12
2002,1895.723333,12
2003,2174.677500,12
2004,2318.145000,12
2005,2477.390833,12
2006,2581.034167,12
2007,2675.016667,12
2008,2826.920000,12
2009,2965.100833,12
2010,3114.504167,12
2011,3321.196667,12
2012,3500.657500,12
2013,3717.849167,12
2014,3953.153333,12
2015,4310.119167,12
2016,4686.786667,12
2017,4848.310833,12
2018,5025.994167,12
2019,5213.613333,12
2020,5381.062500,12
2021,5827.780000,12
2022,6368.604167,12
2023,6661.150000,12
2024,6952.073333,12
2025,7300.841667,12
