ano,pib_nominal_reais,trimestres
1996,854763000000,4
1997,952089000000,4
1998,1002351000000,4
1999,1087711000000,4
2000,1199093000000,4
2001,1315756000000,4
2002,1488788000000,4
2003,1717951000000,4
2004,1957750000000,4
2005,2170584000000,4
2006,2409450000000,4
2007,2720263000000,4
2008,3109803000000,4
2009,3333039000000,4
2010,3885847000000,4
2011,4376382000000,4
2012,4814760000000,4
2013,5331619000000,4
2014,5778953000000,4
2015,5995787000000,4
2016,6269327000000,4
2017,6585479000000,4
2018,7004141000000,4
2019,7389131000000,4
2020,7609597000000,4
2021,9012142000000,4
2022,10079676000000,4
2023,10943344000000,4
2024,11779251000000,4
2025,12738566000000,4
