ano,nominal,real_dez2024,real_ago2026,fator_origem_ago2026
2015,75130474306.9201,123770112181.7466,133056226098.03163,1.7710020777251516
2016,78293599047.64989,118615106582.96791,127514455323.18965,1.6286702473031507
2017,70589542477.06003,103380551211.11597,111136895277.9701,1.574410194174116
2018,100231849428.97006,141603078559.72128,152227148419.74808,1.518750270368151
2019,119443351768.11014,162671733605.80823,174876523781.68628,1.4640959182156517
2020,159364427171.76987,210286930347.52002,226064151163.5237,1.4185358374856265
2021,204743993624.77994,249457722620.40607,268173814807.0927,1.3098006444992776
2022,194697890917.4298,217073056859.55817,233359421141.05844,1.198571900504175
2023,179358723369.85004,191188700943.17352,205533036786.20663,1.145932759358369
2024,70645367450.0,72887015719.28503,78355517921.12079,1.1091387977644496
