,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-169855184000.0,-140410212884.46207,-77198458733.12631,44769302110.66886,
Tax Rate For Calcs,0.332,0.346251,0.375687,0.209585,
Normalized EBITDA,6550163000000.0,5846515000000.0,5972636000000.0,5674909000000.0,
Total Unusual Items,-511612000000.0,-405516000000.0,-205486000000.0,213609000000.0,
Total Unusual Items Excluding Goodwill,-511612000000.0,-405516000000.0,-205486000000.0,213609000000.0,
Net Income From Continuing Operation Net Minority Interest,968126000000.0,649425000000.0,820217000000.0,1340823000000.0,
Reconciled Depreciation,3602036000000.0,3533864000000.0,3216999000000.0,2985120000000.0,
Reconciled Cost Of Revenue,68359224000000.0,66348948000000.0,62461405000000.0,63231088000000.0,
EBITDA,6038551000000.0,5440999000000.0,5767150000000.0,5888518000000.0,
EBIT,2436515000000.0,1907135000000.0,2550151000000.0,2903398000000.0,
Net Interest Income,-244492000000.0,-124944000000.0,-155805000000.0,-194503000000.0,
Interest Expense,600090000000.0,571340000000.0,535254000000.0,363587000000.0,
Interest Income,409404000000.0,500454000000.0,438300000000.0,208024000000.0,
Normalized Income,1309882816000.0,914530787115.538,948504541266.8737,1171983302110.669,
Net Income From Continuing And Discontinued Operation,960579000000.0,367515000000.0,712902000000.0,1196442000000.0,
Total Expenses,86722490000000.0,84308507000000.0,78609370000000.0,79916346000000.0,
Rent Expense Supplemental,,,,,78196000000.0
Total Operating Income As Reported,2478392000000.0,3419675000000.0,3653294000000.0,3550972000000.0,
Diluted Average Shares,180221201.0,180508350.0,180298938.0,180187048.0,
Basic Average Shares,180221201.0,180508350.0,180298938.0,180187048.0,
Diluted EPS,5330.0,2036.0,3954.0,6640.0,
Basic EPS,5330.0,2036.0,3954.0,6640.0,
Net Income Common Stockholders,960579000000.0,367515000000.0,712902000000.0,1196442000000.0,
Net Income,960579000000.0,367515000000.0,712902000000.0,1196442000000.0,
Minority Interests,-259833000000.0,-223850000000.0,-437709000000.0,-666681000000.0,
Net Income Including Noncontrolling Interests,1220412000000.0,591365000000.0,1150611000000.0,1863123000000.0,
Net Income Discontinuous Operations,-7547000000.0,-281910000000.0,-107315000000.0,-144381000000.0,
Net Income Continuous Operations,1227959000000.0,873275000000.0,1257926000000.0,2007504000000.0,
Tax Provision,608466000000.0,462520000000.0,756971000000.0,532307000000.0,
Pretax Income,1836425000000.0,1335795000000.0,2014897000000.0,2539811000000.0,
Other Non Operating Income Expenses,-33880000000.0,-474302000000.0,-263252000000.0,-6347000000.0,
Special Income Charges,-467306000000.0,-418987000000.0,-165877000000.0,240801000000.0,
Other Special Charges,45733000000.0,46236000000.0,54963000000.0,-385535000000.0,
Write Off,0.0,0.0,0.0,0.0,
Impairment Of Capital Assets,421573000000.0,372751000000.0,110914000000.0,144734000000.0,
Net Non Operating Interest Income Expense,-244492000000.0,-124944000000.0,-155805000000.0,-194503000000.0,
Total Other Finance Cost,53806000000.0,54058000000.0,58851000000.0,38940000000.0,
Interest Expense Non Operating,600090000000.0,571340000000.0,535254000000.0,363587000000.0,
Interest Income Non Operating,409404000000.0,500454000000.0,438300000000.0,208024000000.0,
Operating Income,2478392000000.0,3419675000000.0,3653294000000.0,3550972000000.0,
Operating Expense,18363266000000.0,17959559000000.0,16147965000000.0,16685258000000.0,
Other Operating Expenses,,,,,-26672000000.0
Depreciation And Amortization In Income Statement,,,,,617935000000.0
Amortization,,,,,127589000000.0
Depreciation Income Statement,,,,,490346000000.0
Research And Development,2776637000000.0,2687295000000.0,2546867000000.0,2397333000000.0,
Selling General And Administration,15586629000000.0,15272264000000.0,13601098000000.0,14287925000000.0,
Selling And Marketing Expense,13109463000000.0,12976924000000.0,11603896000000.0,12499381000000.0,
General And Administrative Expense,2477166000000.0,2295340000000.0,1997202000000.0,1788544000000.0,
Rent And Landing Fees,,,,,78196000000.0
Gross Profit,20841658000000.0,21379234000000.0,19801259000000.0,20236230000000.0,
Cost Of Revenue,68359224000000.0,66348948000000.0,62461405000000.0,63231088000000.0,
Total Revenue,89200882000000.0,87728182000000.0,82262664000000.0,83467318000000.0,
Operating Revenue,89200882000000.0,87728182000000.0,82262664000000.0,83467318000000.0,
