,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,-31428154.473027,358509940.0,0.0,
Tax Rate For Calcs,0.0,0.004222,0.34,0.0,
Normalized EBITDA,5148388000.0,5675131000.0,3564515000.0,2326571000.0,
Total Unusual Items,4816205000.0,-7443502000.0,1054441000.0,3285636000.0,
Total Unusual Items Excluding Goodwill,4816205000.0,-7443502000.0,1054441000.0,3285636000.0,
Net Income From Continuing Operation Net Minority Interest,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Reconciled Depreciation,3013375000.0,2563982000.0,2404223000.0,2094448000.0,
Reconciled Cost Of Revenue,14464206000.0,13606878000.0,13468175000.0,12779659000.0,
EBITDA,9964593000.0,-1768371000.0,4618956000.0,5612207000.0,
EBIT,6951218000.0,-4332353000.0,2214733000.0,3517759000.0,
Net Interest Income,-7859389000.0,-4993514000.0,-4810829000.0,-4334767000.0,
Interest Expense,6826348000.0,4857821000.0,4555663000.0,4240126000.0,
Interest Income,100208000.0,149916000.0,104667000.0,259220000.0,
Normalized Income,-4691347000.0,-1739297154.473027,-3076387060.0,-4008003000.0,
Net Income From Continuing And Discontinued Operation,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Total Expenses,18472339000.0,16279366000.0,17138967000.0,15621303000.0,
Rent Expense Supplemental,,,1056900000.0,1756544000.0,677653000.0
Total Operating Income As Reported,4321470000.0,3390632000.0,1661094000.0,1429555000.0,
Diluted Average Shares,447975632.0,167743191.0,167623940.0,167636746.0,
Basic Average Shares,447975632.0,167743191.0,167623940.0,167636746.0,
Diluted EPS,-0.50159,-7875031.519814,-154125616.88778,-8.229699,
Basic EPS,-0.50159,-54.555842,-14.20117,-8.229699,
Diluted NI Availto Com Stockholders,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Net Income Common Stockholders,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Net Income,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Net Income Including Noncontrolling Interests,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Net Income Continuous Operations,124858000.0,-9151371000.0,-2380456000.0,-722367000.0,
Tax Provision,12000.0,-38803000.0,39526000.0,0.0,
Pretax Income,124870000.0,-9190174000.0,-2340930000.0,-722367000.0,
Other Income Expense,4816205000.0,-7443502000.0,1054441000.0,3285636000.0,
Special Income Charges,677774000.0,143790000.0,-306429000.0,1102791000.0,
Other Special Charges,-1764156000.0,,552065000.0,81665000.0,62781000.0
Write Off,0.0,-143790000.0,-245636000.0,-1102791000.0,
Impairment Of Capital Assets,,,,-1102791000.0,-1075682000.0
Restructuring And Mergern Acquisition,1086382000.0,0.0,0.0,,
Earnings From Equity Interest,0.0,0.0,0.0,0.0,
Gain On Sale Of Security,4138431000.0,-7587292000.0,1360870000.0,2182845000.0,
Net Non Operating Interest Income Expense,-7859389000.0,-4993514000.0,-4810829000.0,-4334767000.0,
Total Other Finance Cost,1133249000.0,285609000.0,359833000.0,353861000.0,
Interest Expense Non Operating,6826348000.0,4857821000.0,4555663000.0,4240126000.0,
Interest Income Non Operating,100208000.0,149916000.0,104667000.0,259220000.0,
Operating Income,3168054000.0,3246842000.0,1415458000.0,326764000.0,
Operating Expense,4008133000.0,2672488000.0,3670792000.0,2841644000.0,
Other Operating Expenses,2992290000.0,1703676000.0,2802036000.0,2039425000.0,
Depreciation Amortization Depletion Income Statement,9823000.0,11809000.0,,,
Depreciation And Amortization In Income Statement,9823000.0,11809000.0,,,
Selling General And Administration,1015843000.0,968812000.0,868756000.0,802219000.0,
Selling And Marketing Expense,915442000.0,889224000.0,779264000.0,699003000.0,
General And Administrative Expense,100401000.0,79588000.0,89492000.0,103216000.0,
Other Gand A,512784000.0,409061000.0,,,
Insurance And Claims,100401000.0,79588000.0,89492000.0,103216000.0,
Rent And Landing Fees,,,,203398000.0,221800000.0
Salaries And Wages,249253000.0,184243000.0,,,
Gross Profit,7176187000.0,5919330000.0,5086250000.0,3168408000.0,
Cost Of Revenue,14464206000.0,13606878000.0,13468175000.0,12779659000.0,
Total Revenue,21640393000.0,19526208000.0,18554425000.0,15948067000.0,
Excise Taxes,143481000.0,105780000.0,162593000.0,586272000.0,
Operating Revenue,20000963000.0,18125685000.0,17229732000.0,15020757000.0,
