,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-6534000.0,-27258000.0,-14723640.399556,-8634228.187919,
Tax Rate For Calcs,0.297,0.231,0.219756,0.278523,
Normalized EBITDA,2753000000.0,3791000000.0,4679000000.0,3982000000.0,
Total Unusual Items,-22000000.0,-118000000.0,-67000000.0,-31000000.0,
Total Unusual Items Excluding Goodwill,-22000000.0,-118000000.0,-67000000.0,-31000000.0,
Net Income From Continuing Operation Net Minority Interest,510000000.0,1246000000.0,2275000000.0,2029000000.0,
Reconciled Depreciation,629000000.0,605000000.0,564000000.0,535000000.0,
Reconciled Cost Of Revenue,12389000000.0,13350000000.0,16838000000.0,16797000000.0,
EBITDA,2731000000.0,3673000000.0,4612000000.0,3951000000.0,
EBIT,2102000000.0,3068000000.0,4048000000.0,3416000000.0,
Net Interest Income,-1482000000.0,-1611000000.0,-1345000000.0,-734000000.0,
Interest Expense,1482000000.0,1611000000.0,1345000000.0,734000000.0,
Normalized Income,525466000.0,1336742000.0,2327276359.600444,2051365771.812081,
Net Income From Continuing And Discontinued Operation,510000000.0,1246000000.0,2275000000.0,2029000000.0,
Total Expenses,15290000000.0,15986000000.0,19742000000.0,19415000000.0,
Diluted Average Shares,1251000000.0,1260000000.0,1350000000.0,1362000000.0,
Basic Average Shares,1248000000.0,1254000000.0,1332000000.0,1351000000.0,
Diluted EPS,0.41,0.99,1.76,1.49,
Basic EPS,0.41,0.99,1.78,1.5,
Diluted NI Availto Com Stockholders,510000000.0,1246000000.0,2275000000.0,2029000000.0,
Net Income Common Stockholders,510000000.0,1246000000.0,2275000000.0,2029000000.0,
Net Income,510000000.0,1246000000.0,2275000000.0,2029000000.0,
Minority Interests,5000000.0,-13000000.0,-12000000.0,-10000000.0,
Net Income Including Noncontrolling Interests,505000000.0,1259000000.0,2287000000.0,2039000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-41000000.0
Net Income Continuous Operations,505000000.0,1259000000.0,2287000000.0,2039000000.0,
Earnings From Equity Interest Net Of Tax,69000000.0,138000000.0,178000000.0,104000000.0,
Tax Provision,184000000.0,336000000.0,594000000.0,747000000.0,
Pretax Income,620000000.0,1457000000.0,2703000000.0,2682000000.0,
Other Income Expense,-703000000.0,-782000000.0,-897000000.0,-720000000.0,
Other Non Operating Income Expenses,-681000000.0,-664000000.0,-830000000.0,-689000000.0,
Special Income Charges,-22000000.0,-118000000.0,-67000000.0,-31000000.0,
Impairment Of Capital Assets,,,,0.0,0.0
Restructuring And Mergern Acquisition,22000000.0,118000000.0,67000000.0,31000000.0,
Net Non Operating Interest Income Expense,-1482000000.0,-1611000000.0,-1345000000.0,-734000000.0,
Interest Expense Non Operating,1482000000.0,1611000000.0,1345000000.0,734000000.0,
Operating Income,2805000000.0,3850000000.0,4945000000.0,4136000000.0,
Operating Expense,2901000000.0,2636000000.0,2904000000.0,2618000000.0,
Research And Development,1025000000.0,924000000.0,1041000000.0,866000000.0,
Selling General And Administration,1876000000.0,1712000000.0,1863000000.0,1752000000.0,
Gross Profit,5706000000.0,6486000000.0,7849000000.0,6754000000.0,
Cost Of Revenue,12389000000.0,13350000000.0,16838000000.0,16797000000.0,
Total Revenue,18095000000.0,19836000000.0,24687000000.0,23551000000.0,
Operating Revenue,18095000000.0,19836000000.0,24687000000.0,23551000000.0,
