,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-411663000.0,-46158000.0,-44583000.0,-13778800.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.148,
Normalized EBITDA,486900000.0,884400000.0,934000000.0,1398200000.0,
Total Unusual Items,-1960300000.0,-219800000.0,-212300000.0,-93100000.0,
Total Unusual Items Excluding Goodwill,-1960300000.0,-219800000.0,-212300000.0,-93100000.0,
Net Income From Continuing Operation Net Minority Interest,-2202300000.0,402900000.0,1420000000.0,833700000.0,
Reconciled Depreciation,173600000.0,176300000.0,184300000.0,169400000.0,
Reconciled Cost Of Revenue,2184400000.0,2597200000.0,2655800000.0,3475500000.0,
EBITDA,-1473400000.0,664600000.0,721700000.0,1305100000.0,
EBIT,-1647000000.0,488300000.0,537400000.0,1135700000.0,
Net Interest Income,-239600000.0,-235800000.0,-237200000.0,-151800000.0,
Interest Expense,239600000.0,235800000.0,237200000.0,151800000.0,
Interest Income,,,,0.0,0.0
Normalized Income,-653663000.0,576542000.0,1587717000.0,913021200.0,
Net Income From Continuing And Discontinued Operation,-2238900000.0,341100000.0,1321500000.0,736500000.0,
Total Expenses,3135400000.0,3519800000.0,3718900000.0,4564900000.0,
Diluted Average Shares,125162000.0,125400000.0,125500000.0,126700000.0,
Basic Average Shares,125162000.0,125000000.0,125100000.0,126000000.0,
Diluted EPS,-17.88,2.72,10.53,5.81,
Basic EPS,-17.88,2.73,10.55,5.83,
Diluted NI Availto Com Stockholders,-2240000000.0,339900000.0,1318800000.0,734800000.0,
Net Income Common Stockholders,-2240000000.0,339900000.0,1318800000.0,734800000.0,
Otherunder Preferred Stock Dividend,1100000.0,1200000.0,2700000.0,1700000.0,
Net Income,-2238900000.0,341100000.0,1321500000.0,736500000.0,
Minority Interests,-1500000.0,-500000.0,500000.0,-5000000.0,
Net Income Including Noncontrolling Interests,-2237400000.0,341600000.0,1321000000.0,741500000.0,
Net Income Discontinuous Operations,-36600000.0,-61800000.0,-98500000.0,-97200000.0,
Net Income Continuous Operations,-2200800000.0,403400000.0,1419500000.0,838700000.0,
Tax Provision,314200000.0,-150900000.0,-1119300000.0,145200000.0,
Pretax Income,-1886600000.0,252500000.0,300200000.0,983900000.0,
Other Income Expense,-1979000000.0,-238000000.0,-230500000.0,-101700000.0,
Other Non Operating Income Expenses,-18700000.0,-18200000.0,-18200000.0,-8600000.0,
Special Income Charges,-1960300000.0,-219800000.0,-212300000.0,-93100000.0,
Gain On Sale Of Business,-225500000.0,174400000.0,0.0,-76800000.0,
Other Special Charges,7700000.0,16500000.0,84000000.0,7700000.0,
Impairment Of Capital Assets,1356200000.0,0.0,0.0,,
Restructuring And Mergern Acquisition,370900000.0,377700000.0,128300000.0,8600000.0,
Net Non Operating Interest Income Expense,-239600000.0,-235800000.0,-237200000.0,-151800000.0,
Interest Expense Non Operating,239600000.0,235800000.0,237200000.0,151800000.0,
Interest Income Non Operating,,,,0.0,0.0
Operating Income,332000000.0,726300000.0,767900000.0,1237400000.0,
Operating Expense,951000000.0,922600000.0,1063100000.0,1089400000.0,
Other Operating Expenses,,74700000.0,66900000.0,34700000.0,
Research And Development,266100000.0,278000000.0,328800000.0,314200000.0,
Selling General And Administration,684900000.0,644600000.0,734300000.0,775200000.0,
General And Administrative Expense,,,734300000.0,775200000.0,714100000.0
Other Gand A,,,734300000.0,775200000.0,714100000.0
Salaries And Wages,,,18200000.0,8600000.0,5600000.0
Gross Profit,1283000000.0,1648900000.0,1831000000.0,2326800000.0,
Cost Of Revenue,2184400000.0,2597200000.0,2655800000.0,3475500000.0,
Total Revenue,3467400000.0,4246100000.0,4486800000.0,5802300000.0,
Operating Revenue,3467400000.0,4246100000.0,4486800000.0,5802300000.0,
