,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-13553685.702865,2868629.519666,2147275.0,11429710.9,
Tax Rate For Calcs,0.095796,0.01659,0.025,0.0067,
Normalized EBITDA,2380173000.0,1641871000.0,1193488000.0,551950000.0,
Total Unusual Items,-141485000.0,172917000.0,85891000.0,1705927000.0,
Total Unusual Items Excluding Goodwill,-141485000.0,172917000.0,85891000.0,1705927000.0,
Net Income From Continuing Operation Net Minority Interest,1459984000.0,976972000.0,581831000.0,1339210000.0,
Reconciled Cost Of Revenue,10104884000.0,9565899000.0,8816590000.0,8103483000.0,
EBITDA,2238688000.0,1814788000.0,1279379000.0,2257877000.0,
EBIT,2238688000.0,1814788000.0,1279379000.0,2257877000.0,
Net Interest Income,-575141000.0,-739539000.0,-572875000.0,109892000.0,
Interest Expense,620070000.0,820854000.0,682887000.0,911826000.0,
Interest Income,,0.0,0.0,49824000.0,0.0
Normalized Income,1587915314.297135,806923629.519666,498087275.0,-355287289.1,
Net Income From Continuing And Discontinued Operation,1459984000.0,976972000.0,581831000.0,1339210000.0,
Total Expenses,11928317000.0,11255772000.0,10471333000.0,9501964000.0,
Rent Expense Supplemental,,,1322795000.0,1239003000.0,755188000.0
Total Operating Income As Reported,2335538000.0,1541048000.0,1078165000.0,1211578000.0,
Diluted Average Shares,294653001.0,302218939.0,302220895.0,302615927.0,
Basic Average Shares,294651045.0,302218939.0,302218935.0,302615927.0,
Diluted EPS,4.954,3.232,1.926,5.27188,
Basic EPS,4.954,3.232,1.926,5.27188,
Diluted NI Availto Com Stockholders,1459984000.0,976972000.0,581831000.0,1339210000.0,
Net Income Common Stockholders,1459984000.0,976972000.0,581831000.0,1339210000.0,
Net Income,1459984000.0,976972000.0,581831000.0,1339210000.0,
Minority Interests,-3577000.0,-473000.0,281000.0,2073000.0,
Net Income Including Noncontrolling Interests,1463561000.0,977445000.0,581550000.0,1337137000.0,
Net Income Continuous Operations,1463561000.0,977445000.0,581550000.0,1337137000.0,
Tax Provision,155057000.0,16489000.0,14942000.0,8914000.0,
Pretax Income,1618618000.0,993934000.0,596492000.0,1346051000.0,
Other Income Expense,-142980000.0,156202000.0,159000.0,1375602000.0,
Other Non Operating Income Expenses,-1495000.0,-16715000.0,-85732000.0,-330325000.0,
Special Income Charges,,0.0,0.0,1679934000.0,-2337182000.0
Write Off,,,,0.0,0.0
Impairment Of Capital Assets,,,,0.0,0.0
Restructuring And Mergern Acquisition,,0.0,0.0,-1679934000.0,2337182000.0
Gain On Sale Of Security,-141485000.0,172917000.0,85891000.0,25993000.0,
Net Non Operating Interest Income Expense,-575141000.0,-739539000.0,-572875000.0,109892000.0,
Total Other Finance Cost,-44929000.0,-81315000.0,-110012000.0,-971894000.0,
Interest Expense Non Operating,620070000.0,820854000.0,682887000.0,911826000.0,
Interest Income Non Operating,,0.0,0.0,49824000.0,0.0
Operating Income,2336739000.0,1577271000.0,1169208000.0,-139443000.0,
Operating Expense,1823433000.0,1689873000.0,1654743000.0,1398481000.0,
Other Operating Expenses,422495000.0,296883000.0,411713000.0,425776000.0,
Other Taxes,-48517000.0,-37710000.0,-27553000.0,-30323000.0,
Selling General And Administration,1449455000.0,1430700000.0,1270583000.0,1003028000.0,
Selling And Marketing Expense,578971000.0,606207000.0,587272000.0,426599000.0,
General And Administrative Expense,870484000.0,824493000.0,683311000.0,576429000.0,
Other Gand A,870484000.0,824493000.0,683311000.0,576429000.0,
Gross Profit,4160172000.0,3267144000.0,2823951000.0,1259038000.0,
Cost Of Revenue,10104884000.0,9565899000.0,8816590000.0,8103483000.0,
Total Revenue,14265056000.0,12833043000.0,11640541000.0,9362521000.0,
Operating Revenue,,,,9362521000.0,
