,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,16950425000.0,26072268397.357014,25022980000.0,8425420000.0
Tax Rate For Calcs,0.205,0.188222,0.17,0.172
Normalized EBITDA,1527961000000.0,1516474000000.0,1616836000000.0,1733581000000.0
Total Unusual Items,82685000000.0,138519000000.0,147194000000.0,48985000000.0
Total Unusual Items Excluding Goodwill,82685000000.0,138519000000.0,147194000000.0,48985000000.0
Net Income From Continuing Operation Net Minority Interest,833971000000.0,900342000000.0,1063684000000.0,1130630000000.0
Reconciled Depreciation,333248000000.0,313730000000.0,293573000000.0,272689000000.0
Reconciled Cost Of Revenue,12667069000000.0,13374254000000.0,12005227000000.0,12910174000000.0
EBITDA,1610646000000.0,1654993000000.0,1764030000000.0,1782566000000.0
EBIT,1277398000000.0,1341263000000.0,1470457000000.0,1509877000000.0
Net Interest Income,-103799000000.0,-114029000000.0,-103762000000.0,-66825000000.0
Interest Expense,190342000000.0,206032000000.0,168064000000.0,114582000000.0
Interest Income,86543000000.0,92003000000.0,64302000000.0,47757000000.0
Normalized Income,768236425000.0,787895268397.357,941512980000.0,1090070420000.0
Net Income From Continuing And Discontinued Operation,833971000000.0,900342000000.0,1063684000000.0,1130630000000.0
Total Expenses,13569199000000.0,14261966000000.0,12799518000000.0,13612983000000.0
Diluted Average Shares,143362958.0,146889092.0,147445142.0,156724400.0
Basic Average Shares,143234920.0,146764581.0,147361392.0,156636655.0
Diluted EPS,5817.2,6129.4,7214.1,7214.1
Basic EPS,5822.4,6134.6,7218.2,7218.2
Diluted NI Availto Com Stockholders,833971000000.0,900342000000.0,1063684000000.0,1130630000000.0
Net Income Common Stockholders,833971000000.0,900342000000.0,1063684000000.0,1130630000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,833971000000.0,900342000000.0,1063684000000.0,1130630000000.0
Minority Interests,-30350000000.0,-21214000000.0,-16795000000.0,-23997000000.0
Net Income Including Noncontrolling Interests,864321000000.0,921556000000.0,1080479000000.0,1154627000000.0
Net Income Continuous Operations,864321000000.0,921556000000.0,1080479000000.0,1154627000000.0
Tax Provision,222735000000.0,213675000000.0,221914000000.0,240668000000.0
Pretax Income,1087056000000.0,1135231000000.0,1302393000000.0,1395295000000.0
Other Non Operating Income Expenses,56027000000.0,31717000000.0,31302000000.0,9248000000.0
Special Income Charges,47377000000.0,22171000000.0,-50869000000.0,-10539000000.0
Other Special Charges,-53207000000.0,-57989000000.0,-16166000000.0,-19436000000.0
Impairment Of Capital Assets,5830000000.0,35818000000.0,67035000000.0,29975000000.0
Net Non Operating Interest Income Expense,-103799000000.0,-114029000000.0,-103762000000.0,-66825000000.0
Interest Expense Non Operating,190342000000.0,206032000000.0,168064000000.0,114582000000.0
Interest Income Non Operating,86543000000.0,92003000000.0,64302000000.0,47757000000.0
Operating Income,426023000000.0,400654000000.0,525424000000.0,693419000000.0
Operating Expense,902130000000.0,887712000000.0,794291000000.0,702809000000.0
Selling General And Administration,902130000000.0,887712000000.0,794291000000.0,702809000000.0
General And Administrative Expense,902130000000.0,887712000000.0,794291000000.0,702809000000.0
Gross Profit,1328153000000.0,1288366000000.0,1319715000000.0,1396228000000.0
Cost Of Revenue,12667069000000.0,13374254000000.0,12005227000000.0,12910174000000.0
Total Revenue,13995222000000.0,14662620000000.0,13324942000000.0,14306402000000.0
Operating Revenue,13995222000000.0,14662620000000.0,13324942000000.0,14306402000000.0
