,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2893000000.0,-387000000.0,-378360000.0,-229090000.0,
Tax Rate For Calcs,0.25,0.18,0.18,0.31,
Normalized EBITDA,5933000000.0,7250000000.0,8496000000.0,6769000000.0,
Total Unusual Items,-11572000000.0,-2150000000.0,-2102000000.0,-739000000.0,
Total Unusual Items Excluding Goodwill,-11572000000.0,-2150000000.0,-2102000000.0,-739000000.0,
Net Income From Continuing Operation Net Minority Interest,-10931000000.0,752000000.0,2198000000.0,1966000000.0,
Reconciled Depreciation,4239000000.0,3183000000.0,3188000000.0,3532000000.0,
Reconciled Cost Of Revenue,46875000000.0,44500000000.0,41414000000.0,37111000000.0,
EBITDA,-5639000000.0,5100000000.0,6394000000.0,6030000000.0,
EBIT,-9878000000.0,1917000000.0,3206000000.0,2498000000.0,
Net Interest Income,-252000000.0,-167000000.0,-144000000.0,-270000000.0,
Interest Expense,395000000.0,379000000.0,368000000.0,370000000.0,
Interest Income,281000000.0,440000000.0,414000000.0,168000000.0,
Normalized Income,-2252000000.0,2515000000.0,3921640000.0,2475910000.0,
Net Income From Continuing And Discontinued Operation,-10931000000.0,752000000.0,2198000000.0,-354000000.0,
Total Expenses,54290000000.0,51969000000.0,48259000000.0,43690000000.0,
Total Operating Income As Reported,-7867000000.0,2576000000.0,2485000000.0,2191000000.0,
Diluted Average Shares,273380000.0,289902395.0,275141000.0,274251000.0,
Basic Average Shares,273380000.0,289902395.0,271009000.0,272097000.0,
Diluted EPS,-39.99,2.593977,7.99,-1.3,
Basic EPS,-39.99,2.593977,8.11,-1.3,
Diluted NI Availto Com Stockholders,-10931000000.0,752000000.0,2198000000.0,-354000000.0,
Net Income Common Stockholders,-10931000000.0,752000000.0,2198000000.0,-354000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-10931000000.0,752000000.0,2198000000.0,-354000000.0,
Minority Interests,-136000000.0,-139000000.0,-117000000.0,362000000.0,
Net Income Including Noncontrolling Interests,-10795000000.0,891000000.0,2315000000.0,-716000000.0,
Net Income Discontinuous Operations,,,0.0,-2320000000.0,418000000.0
Net Income Continuous Operations,-10795000000.0,891000000.0,2315000000.0,1604000000.0,
Tax Provision,522000000.0,647000000.0,523000000.0,524000000.0,
Pretax Income,-10273000000.0,1538000000.0,2838000000.0,2128000000.0,
Special Income Charges,-11572000000.0,-2150000000.0,-2102000000.0,-739000000.0,
Other Special Charges,10230000000.0,1539000000.0,1212000000.0,128000000.0,
Impairment Of Capital Assets,895000000.0,307000000.0,501000000.0,257000000.0,
Restructuring And Mergern Acquisition,447000000.0,304000000.0,389000000.0,354000000.0,
Net Non Operating Interest Income Expense,-252000000.0,-167000000.0,-144000000.0,-270000000.0,
Total Other Finance Cost,138000000.0,228000000.0,190000000.0,68000000.0,
Interest Expense Non Operating,395000000.0,379000000.0,368000000.0,370000000.0,
Interest Income Non Operating,281000000.0,440000000.0,414000000.0,168000000.0,
Operating Income,3632000000.0,4263000000.0,4117000000.0,2638000000.0,
Operating Expense,7415000000.0,7469000000.0,6845000000.0,6579000000.0,
Other Operating Expenses,,189000000.0,180000000.0,,169000000.0
Research And Development,2172000000.0,2274000000.0,2144000000.0,2125000000.0,
Selling General And Administration,5243000000.0,5195000000.0,4701000000.0,4522000000.0,
Selling And Marketing Expense,,,,4526000000.0,4473000000.0
General And Administrative Expense,5243000000.0,5195000000.0,4701000000.0,4522000000.0,
Gross Profit,11047000000.0,11732000000.0,10962000000.0,9217000000.0,
Cost Of Revenue,46875000000.0,44500000000.0,41414000000.0,37111000000.0,
Total Revenue,57922000000.0,56232000000.0,52376000000.0,46328000000.0,
Operating Revenue,57922000000.0,56232000000.0,52376000000.0,46328000000.0,
