,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,6164000.0,-189943000.0,-2890188000.0,-732780000.0,
Tax Rate For Calcs,0.268,0.247,0.252,0.27,
Normalized EBITDA,71207000000.0,90716000000.0,101106000000.0,69725000000.0,
Total Unusual Items,23000000.0,-286000000.0,-11469000000.0,-2714000000.0,
Total Unusual Items Excluding Goodwill,23000000.0,-769000000.0,-11469000000.0,-2714000000.0,
Net Income From Continuing Operation Net Minority Interest,34456000000.0,50389000000.0,49825000000.0,32722000000.0,
Reconciled Depreciation,22007000000.0,21427000000.0,21227000000.0,20729000000.0,
Reconciled Cost Of Revenue,362314000000.0,382767000000.0,402414000000.0,361741000000.0,
EBITDA,71230000000.0,90430000000.0,89637000000.0,67011000000.0,
EBIT,49223000000.0,69003000000.0,68410000000.0,46282000000.0,
Net Interest Income,-109000000.0,485000000.0,1013000000.0,-321000000.0,
Interest Expense,1832000000.0,1793000000.0,1684000000.0,1205000000.0,
Interest Income,1909000000.0,2688000000.0,2690000000.0,1008000000.0,
Normalized Income,34439164000.0,51451057000.0,58403812000.0,34703220000.0,
Net Income From Continuing And Discontinued Operation,34456000000.0,50389000000.0,49825000000.0,32722000000.0,
Total Expenses,429707000000.0,457028000000.0,471733000000.0,423832000000.0,
Total Operating Income As Reported,48506000000.0,66611000000.0,67301000000.0,45712000000.0,
Diluted Average Shares,2033000000.0,2033000000.0,2033000000.0,2033000000.0,
Basic Average Shares,2033000000.0,2033000000.0,2033000000.0,2033000000.0,
Diluted EPS,16.94,24.78,24.5,16.09,
Basic EPS,16.94,24.78,24.5,16.09,
Diluted NI Availto Com Stockholders,34456000000.0,50389000000.0,49825000000.0,32722000000.0,
Net Income Common Stockholders,34456000000.0,50389000000.0,49825000000.0,32722000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,34456000000.0,50389000000.0,49825000000.0,32722000000.0,
Minority Interests,-251000000.0,-186000000.0,-107000000.0,-247000000.0,
Net Income Including Noncontrolling Interests,34707000000.0,50576000000.0,49932000000.0,32969000000.0,
Net Income Continuous Operations,34706000000.0,50576000000.0,49932000000.0,32969000000.0,
Tax Provision,12685000000.0,16634000000.0,16794000000.0,12108000000.0,
Pretax Income,47391000000.0,67210000000.0,66726000000.0,45077000000.0,
Special Income Charges,672000000.0,-1028000000.0,-10838000000.0,-2733000000.0,
Other Special Charges,-850000000.0,942000000.0,9406000000.0,2733000000.0,
Write Off,,0.0,132000000.0,0.0,-13000000.0
Restructuring And Mergern Acquisition,178000000.0,-397000000.0,1300000000.0,,-157000000.0
Net Non Operating Interest Income Expense,-109000000.0,485000000.0,1013000000.0,-321000000.0,
Total Other Finance Cost,186000000.0,410000000.0,-7000000.0,124000000.0,
Interest Expense Non Operating,1832000000.0,1793000000.0,1684000000.0,1205000000.0,
Interest Income Non Operating,1909000000.0,2688000000.0,2690000000.0,1008000000.0,
Operating Income,49476000000.0,69788000000.0,80519000000.0,49647000000.0,
Operating Expense,67393000000.0,74261000000.0,69319000000.0,62091000000.0,
Other Operating Expenses,2285000000.0,1761000000.0,1643000000.0,4641000000.0,
Research And Development,26242000000.0,30957000000.0,26645000000.0,22526000000.0,
Selling General And Administration,40049000000.0,42489000000.0,41031000000.0,34924000000.0,
Selling And Marketing Expense,32820000000.0,34688000000.0,33675000000.0,29044000000.0,
General And Administrative Expense,7229000000.0,7801000000.0,7356000000.0,5880000000.0,
Gross Profit,116869000000.0,144049000000.0,149838000000.0,111738000000.0,
Cost Of Revenue,362314000000.0,382767000000.0,402414000000.0,361741000000.0,
Total Revenue,479183000000.0,526816000000.0,552252000000.0,473479000000.0,
Operating Revenue,479183000000.0,526816000000.0,552252000000.0,473479000000.0,
