,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-65790000.0,-1022807000.0,-654441000.0,623502000.0,
Tax Rate For Calcs,0.258,0.263,0.227,0.282,
Normalized EBITDA,50240000000.0,55488000000.0,57188000000.0,49988000000.0,
Total Unusual Items,-255000000.0,-3889000000.0,-2883000000.0,2211000000.0,
Total Unusual Items Excluding Goodwill,-255000000.0,-3889000000.0,-2883000000.0,2211000000.0,
Net Income From Continuing Operation Net Minority Interest,7323000000.0,11351000000.0,16532000000.0,15457000000.0,
Reconciled Depreciation,37434000000.0,31346000000.0,27566000000.0,28485000000.0,
Reconciled Cost Of Revenue,270671000000.0,265184000000.0,261299000000.0,226866000000.0,
EBITDA,49985000000.0,51599000000.0,54305000000.0,52199000000.0,
EBIT,12551000000.0,20253000000.0,26739000000.0,23714000000.0,
Net Interest Income,-1463000000.0,-1198000000.0,-1017000000.0,920000000.0,
Interest Expense,3244000000.0,3447000000.0,3640000000.0,1644000000.0,
Interest Income,1824000000.0,2419000000.0,2658000000.0,2561000000.0,
Normalized Income,7512210000.0,14217193000.0,18760559000.0,13869502000.0,
Net Income From Continuing And Discontinued Operation,7323000000.0,11351000000.0,16532000000.0,15457000000.0,
Total Expenses,311119000000.0,302991000000.0,296585000000.0,260562000000.0,
Total Operating Income As Reported,8868000000.0,19060000000.0,22528000000.0,22109000000.0,
Diluted Average Shares,501295263.0,501295263.0,501295263.0,501295263.0,
Basic Average Shares,501295263.0,501295263.0,501295263.0,501295263.0,
Diluted EPS,13.29,21.36,31.79,29.66,
Basic EPS,13.29,21.36,31.79,29.66,
Diluted NI Availto Com Stockholders,,,15947000000.0,14881000000.0,
Net Income Common Stockholders,6673000000.0,10721000000.0,15947000000.0,14881000000.0,
Otherunder Preferred Stock Dividend,650000000.0,630000000.0,585000000.0,576000000.0,
Preferred Stock Dividends,,0.0,0.0,0.0,0.0
Net Income,7323000000.0,11351000000.0,16532000000.0,15457000000.0,
Minority Interests,419000000.0,-1043000000.0,-1329000000.0,-395000000.0,
Net Income Including Noncontrolling Interests,6904000000.0,12394000000.0,17861000000.0,15852000000.0,
Net Income Continuous Operations,6904000000.0,12395000000.0,17862000000.0,15853000000.0,
Tax Provision,2403000000.0,4411000000.0,5237000000.0,6217000000.0,
Pretax Income,9307000000.0,16806000000.0,23099000000.0,22070000000.0,
Special Income Charges,-1404000000.0,-2474000000.0,118000000.0,123000000.0,
Other Special Charges,5000000.0,-36000000.0,-180000000.0,-403000000.0,
Restructuring And Mergern Acquisition,1399000000.0,2510000000.0,62000000.0,280000000.0,
Net Non Operating Interest Income Expense,-1463000000.0,-1198000000.0,-1017000000.0,920000000.0,
Total Other Finance Cost,43000000.0,170000000.0,35000000.0,-3000000.0,
Interest Expense Non Operating,3244000000.0,3447000000.0,3640000000.0,1644000000.0,
Interest Income Non Operating,1824000000.0,2419000000.0,2658000000.0,2561000000.0,
Operating Income,10794000000.0,21664000000.0,25699000000.0,18488000000.0,
Operating Expense,40448000000.0,37807000000.0,35286000000.0,33696000000.0,
Other Operating Expenses,10305000000.0,7568000000.0,5355000000.0,6254000000.0,
Selling General And Administration,35345000000.0,35074000000.0,34074000000.0,31495000000.0,
Selling And Marketing Expense,22804000000.0,22320000000.0,21345000000.0,19840000000.0,
General And Administrative Expense,12541000000.0,12754000000.0,12729000000.0,11655000000.0,
Gross Profit,51242000000.0,59471000000.0,60985000000.0,52184000000.0,
Cost Of Revenue,270671000000.0,265184000000.0,261299000000.0,226866000000.0,
Total Revenue,321913000000.0,324655000000.0,322284000000.0,279050000000.0,
Operating Revenue,321913000000.0,324655000000.0,322284000000.0,279050000000.0,
