,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-17556000.0,-30800000.0,-29260000.0,22560000.0,
Tax Rate For Calcs,0.228,0.22,0.22,0.235,
Normalized EBITDA,3183000000.0,1602000000.0,1653000000.0,4738000000.0,
Total Unusual Items,-77000000.0,-137000000.0,-122000000.0,96000000.0,
Total Unusual Items Excluding Goodwill,-77000000.0,-140000000.0,-133000000.0,96000000.0,
Net Income From Continuing Operation Net Minority Interest,1368000000.0,14000000.0,48000000.0,2777000000.0,
Reconciled Depreciation,1083000000.0,1048000000.0,1018000000.0,964000000.0,
Reconciled Cost Of Revenue,11208000000.0,10130000000.0,12095000000.0,17353000000.0,
EBITDA,3106000000.0,1465000000.0,1531000000.0,4834000000.0,
EBIT,2022000000.0,417000000.0,513000000.0,3870000000.0,
Net Interest Income,-195000000.0,-206000000.0,-171000000.0,-150000000.0,
Interest Expense,244000000.0,237000000.0,322000000.0,231000000.0,
Interest Income,63000000.0,53000000.0,79000000.0,111000000.0,
Normalized Income,1427444000.0,126200000.0,162740000.0,2703560000.0,
Net Income From Continuing And Discontinued Operation,1368000000.0,14000000.0,48000000.0,2777000000.0,
Total Expenses,14067000000.0,13107000000.0,15016000000.0,20190000000.0,
Total Operating Income As Reported,1571000000.0,686000000.0,392000000.0,3827000000.0,
Diluted Average Shares,254725627.0,254725627.0,254725627.0,254725627.0,
Basic Average Shares,254725627.0,254725627.0,254725627.0,254725627.0,
Diluted EPS,5.37,0.05,0.19,10.9,
Basic EPS,5.37,0.05,0.19,10.9,
Diluted NI Availto Com Stockholders,1368000000.0,14000000.0,48000000.0,2777000000.0,
Net Income Common Stockholders,1368000000.0,14000000.0,48000000.0,2777000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1368000000.0,14000000.0,48000000.0,2777000000.0,
Minority Interests,-3000000.0,-2000000.0,-6000000.0,-5000000.0,
Net Income Including Noncontrolling Interests,1372000000.0,15000000.0,54000000.0,2782000000.0,
Tax Provision,406000000.0,165000000.0,136000000.0,857000000.0,
Pretax Income,1778000000.0,180000000.0,191000000.0,3639000000.0,
Other Non Operating Income Expenses,92000000.0,66000000.0,29000000.0,19000000.0,
Special Income Charges,-77000000.0,-140000000.0,-136000000.0,2000000.0,
Other Special Charges,,-53000000.0,-84000000.0,-37000000.0,-14000000.0
Write Off,-39000000.0,-2000000.0,0.0,0.0,
Impairment Of Capital Assets,55000000.0,80000000.0,209000000.0,35000000.0,
Restructuring And Mergern Acquisition,61000000.0,59000000.0,,,
Net Non Operating Interest Income Expense,-195000000.0,-206000000.0,-171000000.0,-150000000.0,
Total Other Finance Cost,14000000.0,22000000.0,-72000000.0,30000000.0,
Interest Expense Non Operating,244000000.0,237000000.0,322000000.0,231000000.0,
Interest Income Non Operating,63000000.0,53000000.0,79000000.0,111000000.0,
Operating Income,1556000000.0,761000000.0,495000000.0,3712000000.0,
Operating Expense,2859000000.0,2977000000.0,2921000000.0,2837000000.0,
Other Operating Expenses,68000000.0,63000000.0,94000000.0,136000000.0,
Depreciation And Amortization In Income Statement,1084000000.0,1047000000.0,1018000000.0,964000000.0,
Amortization,24000000.0,27000000.0,,,
Depreciation Income Statement,1084000000.0,1047000000.0,1018000000.0,964000000.0,
Selling General And Administration,350000000.0,383000000.0,410000000.0,453000000.0,
Selling And Marketing Expense,249000000.0,279000000.0,291000000.0,341000000.0,
General And Administrative Expense,101000000.0,104000000.0,119000000.0,112000000.0,
Gross Profit,4415000000.0,3738000000.0,3416000000.0,6549000000.0,
Cost Of Revenue,11208000000.0,10130000000.0,12095000000.0,17353000000.0,
Total Revenue,15623000000.0,13868000000.0,15511000000.0,23902000000.0,
Operating Revenue,15623000000.0,13868000000.0,15511000000.0,23902000000.0,
