ano,nominal,indice_origem,fator,real_antes,real_revisado,diferenca
2015,75130474306.9201,4310.119167,1.6474022468715654,123770112181.7466,123770112181.7466,0.0
2016,78293599047.64989,4686.786667,1.515003883149862,118615106582.96791,118615106582.96791,0.0
2017,70589542477.06003,4848.310833,1.4645306880224114,103380551211.11597,103380551211.11597,0.0
2018,100231849428.97006,5025.994167,1.4127553204539962,141603078559.72128,141603078559.72128,0.0
2019,119443351768.11014,5213.613333,1.361915344787231,162671733605.80823,162671733605.80823,0.0
2020,159364427171.76987,5381.0625,1.3195349431455219,210286930347.52002,210286930347.52002,0.0
2021,204743993624.77994,5827.78,1.218388477258922,249457722620.40607,249457722620.40607,0.0
2022,194697890917.4298,6368.604167,1.1149224875354071,217073056859.55817,217073056859.55817,0.0
2023,179358723369.85004,6661.15,1.0659570794832725,191188700943.17352,191188700943.17352,0.0
2024,70645367450.0,6882.123333333333,1.0317310016240144,72153645042.50188,72887015719.28503,733370676.7831573
