estab_id,cnpj,razao_social,cnae_original,setor,atividade,regra,fonte,evidencia
0,-3,Inválido,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
1,00000000000191,BANCO DO BRASIL SA,64221,Financeiro e Seguros,Bancos,cnae_3:642,CNAE declarada no Portal da Transparência,64221
2,00000028000129,TARGET ENGENHARIA E CONSULTORIA LTDA.,62031,Tecnologia da Informação,Tecnologia da informação,cnae_2:62,CNAE declarada no Portal da Transparência,62031
3,00000208000100,BRB BANCO DE BRASILIA SA,64221,Financeiro e Seguros,Bancos,cnae_3:642,CNAE declarada no Portal da Transparência,64221
4,00000368000150,CASA MILITAR DO GABINETE DO GOVERNADOR,84116,Administração Pública,Administração pública,cnae_2:84,CNAE declarada no Portal da Transparência,84116
5,00000776000101,ITAU ADMINISTRADORA DE CONSORCIOS LTDA,64930,Financeiro e Seguros,Outros serviços financeiros,cnae_3:649,CNAE declarada no Portal da Transparência,64930
6,00000802000100,HC PNEUS S/A,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
7,00000993000100,SUPERMERCADO SERVE TODOS PIRAJUI LTDA,47113,Alimentos e Bebidas,Supermercados,cnae_5:47113,CNAE declarada no Portal da Transparência,47113
8,00001172000180,SA CORREIO BRAZILIENSE,58221,"Mídia, Cultura e Entretenimento",Edição de livros e periódicos,cnae_2:58,CNAE declarada no Portal da Transparência,58221
9,00001180000126,CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS,64620,Holdings e Participações,Holdings e participações,cnae_3:646,CNAE declarada no Portal da Transparência,64620
10,00001596000144,OLITRACTOR IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
11,00001974000190,POSTO 81 LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
12,00002033000170,OXFORD - ASSESSORIA EM EVENTOS LTDA,82300,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82300
13,00002765000160,"KING NUTS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA.",46176,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46176
14,00003188000121,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
15,00003228000135,MOTO AGRICOLA SLAVIERO SA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
16,00003516000190,MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA,20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
17,00003516000270,MC BAUCHEMIE BRASIL INDUSTRIA E COMERCIO LTDA,20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
18,00004286000183,HELCA I. E. E COMERCIO DE MATERIAL CIRURGICO LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
19,00004309000150,DF VEICULOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
20,00005063000130,INSTRUVAL INSTRUMENTOS E SERVICOS LTDA,28291,Máquinas e Equipamentos,Máquinas e equipamentos,cnae_2:28,CNAE declarada no Portal da Transparência,28291
21,00005275000118,KAEFER TECKMA ENGENHARIA LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
22,00005674000189,SOUTH AMERICAN NATION COMERCIO IMPORTACAO EXPORTACAO LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
23,00006027000191,"SERQUIMICA INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS QUIMICOS LTDA.",20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
24,00006037000470,UNIMED DE TATUI COOPERATIVA DE TRABALHO MEDICO,86101,Saúde,Hospitais,cnae_3:861,CNAE declarada no Portal da Transparência,86101
25,00006453000125,RIPA NA BRASA RESTAURANTE LTDA.,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
26,00006878000134,ITAU UNIBANCO SERVICOS E PROCESSAMENTO DE INFORMACOES COMERCIAIS LTDA.,82997,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82997
27,00007177000110,POLI DESIGN PROJETOS PROMOCOES E EMPREENDIMENTOS LTDA.,82997,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82997
28,00007750000195,P.K.O. DO BRASIL IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
29,00007750000438,P.K.O. DO BRASIL IMPORTACAO E EXPORTACAO LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
30,00008354000182,BIOSENSOR INDUSTRIA E COMERCIO LTDA,32507,Outras Indústrias,Outras indústrias,cnae_2:32,CNAE declarada no Portal da Transparência,32507
31,00010126000147,MERCADAO DE TRATORES RIO PRETO LTDA,46613,Máquinas e Equipamentos,Máquinas agrícolas,cnae_5:46613,CNAE declarada no Portal da Transparência,46613
32,00010640000182,POLY SELL PRODUTOS QUIMICOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
33,00011060000100,SEMENTES COSMORAMA LTDA,01415,Agropecuária,Sementes e mudas,cnae_3:014,CNAE declarada no Portal da Transparência,01415
34,00012365000136,BECHTRANS LOGISTICA INTERNATIONAL LTDA,52508,Transporte e Logística,Armazenagem e serviços de transporte,cnae_2:52,CNAE declarada no Portal da Transparência,52508
35,00012698000165,UNIMED DE PENAPOLIS COOPERATIVA DE TRABALHO MEDICO,65502,Financeiro e Seguros,Seguros e previdência,cnae_2:65,CNAE declarada no Portal da Transparência,65502
36,00012847000196,TRANSCOR INDUSTRIA DE PIGMENTOS E CORANTES LTDA,20991,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20991
