setor,cnpjs,valor
"Petróleo, Gás e Combustíveis",3010,223510071970.96
Automotivo,1015,133193033039.53
Aviação,446,109273217786.79
Não identificado,7688,94192141747.37
Mineração e Metalurgia,1894,85286329567.11
Agroquímicos e Fertilizantes,578,77583090135.57
Eletrônicos e Eletrodomésticos,1904,76188664482.72
Máquinas e Equipamentos,4360,73035495460.43
Alimentos e Bebidas,7964,58703327285.85
Transporte e Logística,3486,58001585623.99
Químico,3028,41513822774.23
Agropecuária,2226,22082372926.96
Farmacêutico,813,21603840419.65
Naval,105,19545466190.94
Serviços Profissionais,3387,18374357425.97
"Mídia, Cultura e Entretenimento",3343,17487691800.71
Comércio Diversificado,4108,17033639943.62
Administração Pública,445,16364410886.22
Educação,1211,15309750317.07
Saúde,3461,10932519445.74
Financeiro e Seguros,1990,10651909808.74
"Têxtil, Vestuário e Calçados",2369,9075113738.43
Serviços Administrativos e Operacionais,4063,7663053913.74
"Turismo, Hotelaria e Alimentação",5708,7055285686.03
Outras Indústrias,819,6055886665.43
"Madeira, Papel e Celulose",760,5518150686.19
Holdings e Participações,731,4934256094.04
Locação de Bens,1053,2798790681.88
Higiene e Cosméticos,645,2728251140.72
Telecomunicações,345,2676836954.02
Materiais de Construção,1664,1624111213.14
Imobiliário,539,636507020.17
Tecnologia da Informação,1579,620267517.36
Móveis e Decoração,498,609640115.89
Tabaco,71,579359353.65
Serviços Pessoais,93,25541890.00
Construção Civil,4,12983920.23
Assistência Social e Organizações,53,10170502.28
Saneamento e Meio Ambiente,67,8273429.17
