cnae,descricao_origem,secao,atividade,setor,regra,descricao_ibge
00000,Sem informação,Sem informação,Não identificado,Não identificado,sem_cnae,Não localizado no catálogo consultado
01113,Cultivo de cereais,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,CULTIVO DE CEREAIS
01121,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,CULTIVO DE ALGODÃO HERBÁCEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORÁRIA
01130,Cultivo de cana-de-açúcar,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,CULTIVO DE CANA-DE-AÇÚCAR
01148,Cultivo de fumo,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,CULTIVO DE FUMO
01156,Cultivo de soja,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,CULTIVO DE SOJA
01164,"Cultivo de oleaginosas de lavoura temporária, exceto soja",Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA"
01199,Cultivo de plantas de lavoura temporária não especificadas anteriormente,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:011,CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE
01211,Horticultura,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:012,HORTICULTURA
01229,Cultivo de flores e plantas ornamentais,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:012,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS
01318,Cultivo de laranja,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:013,CULTIVO DE LARANJA
01326,Cultivo de uva,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:013,CULTIVO DE UVA
01334,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:013,"CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA"
01342,Cultivo de café,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:013,CULTIVO DE CAFÉ
01393,Cultivo de plantas de lavoura permanente não especificadas anteriormente,Agropecuária e extração vegetal,Agricultura,Agropecuária,cnae_3:013,CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE
01415,Produção de sementes certificadas,Agropecuária e extração vegetal,Sementes e mudas,Agropecuária,cnae_3:014,PRODUÇÃO DE SEMENTES CERTIFICADAS
01423,"Produção de mudas e outras formas de propagação vegetal, certificadas",Agropecuária e extração vegetal,Sementes e mudas,Agropecuária,cnae_3:014,"PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS"
01512,Criação de bovinos,Agropecuária e extração vegetal,Pecuária,Agropecuária,cnae_3:015,CRIAÇÃO DE BOVINOS
01521,Criação de outros animais de grande porte,Agropecuária e extração vegetal,Pecuária,Agropecuária,cnae_3:015,CRIAÇÃO DE OUTROS ANIMAIS DE GRANDE PORTE
01539,Criação de caprinos e ovinos,Agropecuária e extração vegetal,Pecuária,Agropecuária,cnae_3:015,CRIAÇÃO DE CAPRINOS E OVINOS
01547,Criação de suínos,Agropecuária e extração vegetal,Pecuária,Agropecuária,cnae_3:015,CRIAÇÃO DE SUÍNOS
01555,Criação de aves,Agropecuária e extração vegetal,Pecuária,Agropecuária,cnae_3:015,CRIAÇÃO DE AVES
01598,Criação de animais não especificados anteriormente,Agropecuária e extração vegetal,Pecuária,Agropecuária,cnae_3:015,CRIAÇÃO DE ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE
01610,Atividades de apoio à agricultura,Agropecuária e extração vegetal,Serviços agropecuários,Agropecuária,cnae_3:016,ATIVIDADES DE APOIO À AGRICULTURA
01628,Atividades de apoio à pecuária,Agropecuária e extração vegetal,Serviços agropecuários,Agropecuária,cnae_3:016,ATIVIDADES DE APOIO À PECUÁRIA
01636,Atividades de pós-colheita,Agropecuária e extração vegetal,Serviços agropecuários,Agropecuária,cnae_3:016,ATIVIDADES DE PÓS-COLHEITA
02101,Produção florestal - florestas plantadas,Agropecuária e extração vegetal,Silvicultura,"Madeira, Papel e Celulose",cnae_2:02,PRODUÇÃO FLORESTAL - FLORESTAS PLANTADAS
02209,Produção florestal - florestas nativas,Agropecuária e extração vegetal,Silvicultura,"Madeira, Papel e Celulose",cnae_2:02,PRODUÇÃO FLORESTAL - FLORESTAS NATIVAS
02306,Atividades de apoio à produção florestal,Agropecuária e extração vegetal,Silvicultura,"Madeira, Papel e Celulose",cnae_2:02,ATIVIDADES DE APOIO À PRODUÇÃO FLORESTAL
03116,Pesca em água salgada,Agropecuária e extração vegetal,Pesca e aquicultura,Agropecuária,cnae_2:03,PESCA EM ÁGUA SALGADA
03213,Aqüicultura em água salgada e salobra,Agropecuária e extração vegetal,Pesca e aquicultura,Agropecuária,cnae_2:03,AQUICULTURA EM ÁGUA SALGADA E SALOBRA
03221,Aqüicultura em água doce,Agropecuária e extração vegetal,Pesca e aquicultura,Agropecuária,cnae_2:03,AQUICULTURA EM ÁGUA DOCE
05003,Extração de carvão mineral,Indústrias extrativas,Carvão mineral,Mineração e Metalurgia,cnae_2:05,EXTRAÇÃO DE CARVÃO MINERAL
06000,Extração de petróleo e gás natural,Indústrias extrativas,Petróleo e gás,"Petróleo, Gás e Combustíveis",cnae_2:06,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
07103,Extração de minério de ferro,Indústrias extrativas,Mineração de ferro,Mineração e Metalurgia,cnae_3:071,EXTRAÇÃO DE MINÉRIO DE FERRO
07219,Extração de minério de alumínio,Indústrias extrativas,Mineração de outros metais,Mineração e Metalurgia,cnae_3:072,EXTRAÇÃO DE MINÉRIO DE ALUMÍNIO
07235,Extração de minério de manganês,Indústrias extrativas,Mineração de outros metais,Mineração e Metalurgia,cnae_3:072,EXTRAÇÃO DE MINÉRIO DE MANGANÊS
07243,Extração de minério de metais preciosos,Indústrias extrativas,Mineração de outros metais,Mineração e Metalurgia,cnae_3:072,EXTRAÇÃO DE MINÉRIO DE METAIS PRECIOSOS
07294,Extração de minerais metálicos não-ferrosos não especificados anteriormente,Indústrias extrativas,Mineração de outros metais,Mineração e Metalurgia,cnae_3:072,EXTRAÇÃO DE MINERAIS METÁLICOS NÃO FERROSOS NÃO ESPECIFICADOS ANTERIORMENTE
08100,"Extração de pedra, areia e argila",Indústrias extrativas,"Mineração de pedra, areia e argila",Mineração e Metalurgia,cnae_3:081,"EXTRAÇÃO DE PEDRA, AREIA E ARGILA"
08916,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Indústrias extrativas,Mineração não metálica,Mineração e Metalurgia,cnae_2:08,"EXTRAÇÃO DE MINERAIS PARA FABRICAÇÃO DE ADUBOS, FERTILIZANTES E OUTROS PRODUTOS QUÍMICOS"
08924,Extração e refino de sal marinho e sal-gema,Indústrias extrativas,Mineração não metálica,Mineração e Metalurgia,cnae_2:08,EXTRAÇÃO E REFINO DE SAL MARINHO E SAL-GEMA
08932,Extração de gemas (pedras preciosas e semipreciosas),Indústrias extrativas,Mineração não metálica,Mineração e Metalurgia,cnae_2:08,EXTRAÇÃO DE GEMAS (PEDRAS PRECIOSAS E SEMIPRECIOSAS)
