atividade_anterior,setor,cnpjs
Administração pública,Administração Pública,441
Agricultura,Agropecuária,376
Alimentação coletiva e bufês,"Turismo, Hotelaria e Alimentação",410
Apoio à educação,Educação,68
Armazenagem e serviços de transporte,Transporte e Logística,882
Arrendamento mercantil financeiro,Financeiro e Seguros,12
Artes e espetáculos,"Mídia, Cultura e Entretenimento",934
Assistência social,Assistência Social e Organizações,27
Atendimento móvel de saúde,Saúde,17
Audiovisual e música,"Mídia, Cultura e Entretenimento",543
Automóveis,Automotivo,74
Autopeças,Automotivo,764
Açúcar,Alimentos e Bebidas,99
Aérea,Aviação,317
Bancos,Financeiro e Seguros,538
Bebidas alcoólicas,Alimentos e Bebidas,152
Bebidas não alcoólicas,Alimentos e Bebidas,99
Bicicletas,Outras Indústrias,45
Biocombustíveis,"Petróleo, Gás e Combustíveis",107
Borracha e pneus,Químico,218
Café,Alimentos e Bebidas,73
Calçados e artigos de couro,"Têxtil, Vestuário e Calçados",623
Caminhões e ônibus,Automotivo,27
Capitalização,Financeiro e Seguros,18
Carnes e frigoríficos,Alimentos e Bebidas,395
Carrocerias e reboques,Automotivo,78
Carvão mineral,Mineração e Metalurgia,4
Combustíveis,"Petróleo, Gás e Combustíveis",2482
Componentes eletrônicos,Eletrônicos e Eletrodomésticos,198
Comércio atacadista — diversos,Comércio Diversificado,2920
Comércio de alimentos,Alimentos e Bebidas,3274
Comércio de alimentos e tabaco,Alimentos e Bebidas,187
Comércio de bebidas,Alimentos e Bebidas,540
Comércio de matérias-primas agropecuárias,Agropecuária,620
Comércio de máquinas e equipamentos,Máquinas e Equipamentos,1580
Comércio varejista — diversos,Comércio Diversificado,1188
Construção Civil,Construção Civil,4
Construção naval,Naval,105
Consultoria e sedes de empresas,Serviços Profissionais,661
Consultórios e clínicas,Saúde,391
Correios e entregas,Transporte e Logística,11
Crédito e financiamento,Financeiro e Seguros,130
Cuidados e assistência com alojamento,Assistência Social e Organizações,26
Cultura e patrimônio,"Mídia, Cultura e Entretenimento",23
Defensivos agrícolas,Agroquímicos e Fertilizantes,72
Diagnóstico e terapias,Saúde,323
Edição de livros e periódicos,"Mídia, Cultura e Entretenimento",287
Educação básica,Educação,266
Educação profissional,Educação,15
Eletrodomésticos,Eletrônicos e Eletrodomésticos,246
Engenharia e arquitetura,Serviços Profissionais,712
Ensino superior,Educação,610
Equipamentos de comunicação,Eletrônicos e Eletrodomésticos,454
Equipamentos elétricos,Máquinas e Equipamentos,683
Equipamentos médicos,Saúde,2061
Equipamentos para petróleo e gás,Máquinas e Equipamentos,37
Esporte e recreação,"Mídia, Cultura e Entretenimento",405
