raiz,nome,setor_detalhado,cnae,metodo,n_setores_na_raiz,valor
33000167,PETROLEO BRASILEIRO S A PETROBRAS,Petróleo e gás,06000,cnae_2:06,9,122428277059.23
33435231,GE CELMA LTDA.,Manutenção aeronáutica,00000,curadoria_raiz:33435231,1,42317794697.55
33592510,VALE S.A.,Mineração de ferro,07103,cnae_3:071,6,31523554496.70
02012862,TAM LINHAS AEREAS S/A.,Aérea,00000,inferencia_mesma_raiz,1,21674104635.65
00280273,SAMSUNG ELETRONICA DA AMAZONIA LTDA,Áudio e vídeo,26400,cnae_3:264,4,21438594377.06
16701716,STELLANTIS AUTOMOVEIS BRASIL LTDA.,Automóveis,29107,cnae_3:291,3,20751987867.00
07689002,EMBRAER S.A.,Indústria aeronáutica,30415,cnae_3:304,2,19828639365.97
05217376,MODEC SERVICOS DE PETROLEO DO BRASIL LTDA,Petróleo e gás,09106,cnae_3:091,2,15432068197.00
59275792,GENERAL MOTORS DO BRASIL LTDA,Automóveis,29107,cnae_3:291,1,14732368866.45
01844555,CNH INDUSTRIAL BRASIL LTDA.,Máquinas agrícolas,28313,cnae_3:283,4,10914415431.03
61064911,CATERPILLAR BRASIL LTDA,Máquinas para construção e mineração,28534,cnae_3:285,3,10638741452.89
92660604,YARA BRASIL FERTILIZANTES S/A,Fertilizantes,20134,cnae_5:20134,2,10385788194.90
00913443,RENAULT DO BRASIL S.A,Automóveis,29107,cnae_3:291,1,10209240168.49
60744463,SYNGENTA PROTECAO DE CULTIVOS LTDA,Defensivos agrícolas,20517,cnae_5:20517,5,9931423063.00
00394544,MINISTERIO DA SAUDE,Administração pública,84116,cnae_2:84,2,9832127867.00
59104422,VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA,Automóveis,29107,cnae_3:291,2,8620947580.00
01785706,VENTURA PETROLEO S.A.,Petróleo e gás,09106,cnae_3:091,1,8519590923.00
01166372,LG ELECTRONICS DO BRASIL LTDA,Áudio e vídeo,26400,cnae_3:264,2,8048018414.21
09296295,AZUL LINHAS AEREAS BRASILEIRAS S.A.,Aérea,00000,inferencia_mesma_raiz,1,7764209734.00
43999424,VOLVO DO BRASIL VEICULOS LTDA,Caminhões e ônibus,29204,cnae_3:292,3,7655427744.74
07575651,GOL LINHAS AEREAS S.A.,Aérea,51111,cnae_3:511,1,7510288612.58
59104901,SCANIA LATIN AMERICA LTDA,Caminhões e ônibus,29204,cnae_3:292,1,7322355457.72
03669753,ESTALEIRO BRASFELS LTDA,Construção naval,30113,cnae_3:301,1,6891383587.84
04775827,TAP MANUTENCAO E ENGENHARIA BRASIL S/A,Não identificado,00000,sem_cnae,1,6794900727.00
07864634,BRAM OFFSHORE TRANSPORTES MARITIMOS LTDA,Navegação de apoio,50301,cnae_3:503,1,6664519473.95
04337168,MOTO HONDA DA AMAZONIA LTDA,Motocicletas,30911,cnae_5:30911,1,6632604548.16
59104273,MERCEDES-BENZ DO BRASIL LTDA.,Caminhões e ônibus,29204,cnae_3:292,2,6064954341.08
42101311,BRASDRIL SOCIEDADE DE PERFURACOES LTDA,Petróleo e gás,09106,cnae_3:091,1,5815026104.00
18459628,BAYER S.A.,Químico,20525,cnae_2:20,7,5782478272.22
30521090,SERVICOS DE PETROLEO CONSTELLATION S.A.,Petróleo e gás,09106,cnae_3:091,1,5480376718.08
33931478,SALOBO METAIS S/A,Mineração de outros metais,07294,cnae_3:072,1,5358929678.72
17625216,DUFRY LOJAS FRANCAS LTDA.,Não identificado,00000,sem_cnae,1,4867866796.82
48539407,BASF SA,Defensivos agrícolas,20517,cnae_5:20517,9,4716819126.78
09521059,SEADRILL SERVICOS DE PETROLEO LTDA,Petróleo e gás,09106,cnae_3:091,1,4706073730.52
61454393,RECOFARMA INDUSTRIA DO AMAZONAS LTDA,Bebidas não alcoólicas,11224,cnae_3:112,3,4554779746.26
05571228,FERTILIZANTES TOCANTINS S.A,Fertilizantes,20134,cnae_5:20134,1,4425310603.78
27865757,GLOBO COMUNICACAO E PARTICIPACOES S/A,Televisão,60217,cnae_3:602,1,4373632936.47
40278681,TRANSOCEAN BRASIL LTDA,Petróleo e gás,09106,cnae_3:091,1,4210682369.42
17516289,M&S CERNAMBI NORTE OPERACAO LTDA,Petróleo e gás,09106,cnae_3:091,1,4184282575.88
09509535,ARCELORMITTAL PECEM S.A.,Siderurgia,24211,cnae_3:242,1,4116490976.89
59104760,TOYOTA DO BRASIL LTDA,Automóveis,29107,cnae_3:291,3,4072758651.07
04028583,EQUINOR BRASIL ENERGIA LTDA.,Petróleo e gás,06000,cnae_2:06,1,4065074589.49
18395435,ALFA LULA ALTO OPERACOES MARITIMAS LTDA,Petróleo e gás,09106,cnae_3:091,1,4017981254.26
89674782,JOHN DEERE BRASIL LTDA,Máquinas agrícolas,28330,cnae_3:283,2,3919404252.66
04754557,CATERPILLAR BRASIL COMERCIO DE MAQUINAS E PECAS LTDA.,Máquinas para construção e mineração,46621,cnae_5:46621,1,3807054476.90
02974733,UPL DO BRASIL INDUSTRIA E COMERCIO DE INSUMOS AGROPECUARIOS S.A.,Insumos agropecuários,46923,cnae_5:46923,2,3798558140.34
08091102,OCYAN S.A.,Petróleo e gás,09106,cnae_3:091,1,3773355503.68
04136367,FMC QUIMICA DO BRASIL LTDA.,Defensivos agrícolas,20517,cnae_5:20517,5,3741267849.55
04954351,SUBSEA7 DO BRASIL SERVICOS LTDA,Petróleo e gás,09106,cnae_3:091,1,3735686788.15
01135153,COMEXPORT TRADING COMERCIO EXTERIOR LTDA,Comércio atacadista — diversos,46931,cnae_2:46,1,3662069686.27
18311465,BETA LULA CENTRAL OPERACOES MARITIMAS LTDA,Petróleo e gás,09106,cnae_3:091,1,3618216001.13
04817052,YAMAHA MOTOR DA AMAZONIA LTDA,Motocicletas,30911,cnae_5:30911,1,3587173926.58
45990181,ROBERT BOSCH LIMITADA,Autopeças,29417,cnae_3:294,1,3469509707.26
33781055,FUNDACAO OSWALDO CRUZ,Pesquisa e desenvolvimento,72100,cnae_2:72,1,3418197145.00
04222428,COIMPA INDUSTRIAL LTDA,Metalurgia de metais não ferrosos,24423,cnae_3:244,1,3325963492.00
11200595,ESTALEIRO JURONG ARACRUZ LTDA.,Construção naval,30113,cnae_3:301,1,3171024598.00
07005330,TERNIUM BRASIL LTDA.,Siderurgia,24211,cnae_3:242,1,3149722147.52
