prioridade,prefixo,setor
2,011,Agricultura
2,012,Agricultura
2,013,Agricultura
2,014,Sementes e mudas
2,015,Pecuária
2,016,Serviços agropecuários
2,071,Mineração de ferro
2,072,Mineração de outros metais
2,081,"Mineração de pedra, areia e argila"
2,091,Petróleo e gás
2,099,Serviços de mineração
2,101,Carnes e frigoríficos
2,102,Pescados
2,103,Frutas e vegetais processados
2,104,Óleos e gorduras vegetais
2,105,Laticínios
2,106,Moagem e alimentos farináceos
2,107,Açúcar
2,108,Café
2,109,Outros alimentos
2,111,Bebidas alcoólicas
2,112,Bebidas não alcoólicas
2,193,Biocombustíveis
0,20126,Fertilizantes
0,20134,Fertilizantes
0,20142,Gases industriais
0,20517,Defensivos agrícolas
2,206,Limpeza e cosméticos
2,207,Tintas e vernizes
2,221,Borracha e pneus
2,222,Plásticos
2,231,Vidro
2,232,Cimento
2,233,Artefatos de concreto
2,234,Cerâmica
2,239,Outros minerais não metálicos
2,241,Siderurgia
2,242,Siderurgia
2,243,Siderurgia
2,244,Metalurgia de metais não ferrosos
2,245,Fundição
2,261,Componentes eletrônicos
2,262,Informática
2,263,Equipamentos de comunicação
2,264,Áudio e vídeo
2,265,Instrumentos de medição
2,266,Equipamentos médicos
2,267,Óptica e fotografia
2,275,Eletrodomésticos
2,283,Máquinas agrícolas
2,285,Máquinas para construção e mineração
0,28518,Equipamentos para petróleo e gás
2,291,Automóveis
2,292,Caminhões e ônibus
2,293,Carrocerias e reboques
2,294,Autopeças
2,295,Recondicionamento de motores
2,301,Construção naval
2,303,Material ferroviário
2,304,Indústria aeronáutica
0,30911,Motocicletas
0,30920,Bicicletas
0,33163,Manutenção aeronáutica
0,33171,Manutenção naval
2,462,Comércio de matérias-primas agropecuárias
2,463,Comércio de alimentos
0,46354,Comércio de bebidas
0,46362,Tabaco
0,46419,Têxteis e vestuário
0,46427,Têxteis e vestuário
0,46435,Calçados e artigos de couro
0,46443,Farmacêutico
0,46451,Equipamentos médicos
0,46460,Limpeza e cosméticos
0,46478,Livros e papelaria
0,46516,Informática
0,46524,Equipamentos de comunicação
2,466,Comércio de máquinas e equipamentos
0,46613,Máquinas agrícolas
0,46621,Máquinas para construção e mineração
0,46648,Equipamentos médicos
2,467,Materiais de construção
0,46818,Combustíveis
0,46826,Combustíveis
0,46834,Insumos agropecuários
0,46842,Químico
0,46851,Siderurgia e metalurgia
0,46869,Papel e embalagens
0,46877,Reciclagem e sucata
0,46915,Comércio de alimentos
0,46923,Insumos agropecuários
0,47113,Supermercados
0,47121,Supermercados
2,472,Comércio de alimentos
0,47237,Comércio de bebidas
0,47296,Comércio de alimentos e tabaco
2,473,Combustíveis
2,474,Materiais de construção
0,47512,Informática
0,47521,Equipamentos de comunicação
0,47539,Eletrodomésticos
0,47547,Móveis e decoração
0,47555,Têxteis e vestuário
0,47610,Livros e papelaria
0,47717,Farmacêutico
0,47725,Limpeza e cosméticos
0,47733,Equipamentos médicos
0,47741,Óptica
0,47814,Têxteis e vestuário
0,47822,Calçados e artigos de couro
0,47849,Combustíveis
2,491,Transporte ferroviário
2,492,Transporte rodoviário de passageiros
2,493,Transporte rodoviário de cargas
2,494,Transporte dutoviário
2,495,Outros transportes terrestres
2,503,Navegação de apoio
2,511,Aérea
2,512,Aérea
2,513,Transporte espacial
0,52401,Serviços aeroportuários
2,551,Hotéis e hospedagem
2,559,Outros alojamentos
2,561,Restaurantes e alimentação
2,562,Alimentação coletiva e bufês
2,601,Rádio
2,602,Televisão
2,631,Internet e processamento de dados
2,639,Serviços de informação
2,642,Bancos
2,643,Crédito e financiamento
2,644,Arrendamento mercantil financeiro
2,645,Capitalização
2,646,Holdings e participações
2,647,Fundos de investimento
2,649,Outros serviços financeiros
2,711,Engenharia e arquitetura
2,712,Testes e análises técnicas
2,771,Locação de veículos
2,772,Locação de objetos pessoais
2,773,Locação de máquinas e equipamentos
2,774,Gestão de ativos intangíveis
2,851,Educação básica
2,852,Educação básica
2,853,Ensino superior
2,854,Educação profissional
2,855,Apoio à educação
2,859,Outras atividades de ensino
2,861,Hospitais
